State,Month,Year,Dayweek,Fatalities,Speed
Qld,Mar,2021,Sunday,1,100
Vic,Mar,2021,Sunday,1,100
Qld,Mar,2021,Sunday,1,100
SA,Mar,2021,Saturday,2,110
Qld,Mar,2021,Saturday,1,70
WA,Mar,2021,Friday,1,50
Vic,Mar,2021,Saturday,1,60
Vic,Mar,2021,Saturday,1,60
SA,Mar,2021,Sunday,1,60
SA,Mar,2021,Wednesday,1,60
Vic,Mar,2021,Saturday,1,100
NSW,Mar,2021,Sunday,1,80
Qld,Mar,2021,Sunday,2,90
Vic,Mar,2021,Saturday,1,100
Vic,Mar,2021,Saturday,1,100
SA,Mar,2021,Saturday,1,100
Qld,Mar,2021,Saturday,1,90
WA,Mar,2021,Sunday,1,110
Vic,Mar,2021,Saturday,1,100
Vic,Mar,2021,Sunday,1,100
Vic,Mar,2021,Sunday,1,100
NT,Mar,2021,Thursday,1,100
WA,Mar,2021,Tuesday,1,110
NSW,Mar,2021,Tuesday,1,70
Vic,Mar,2021,Tuesday,1,100
SA,Mar,2021,Friday,1,60
SA,Mar,2021,Tuesday,1,80
NSW,Mar,2021,Wednesday,1,110
Vic,Mar,2021,Tuesday,1,80
SA,Mar,2021,Wednesday,1,50
Vic,Mar,2021,Tuesday,1,80
NSW,Mar,2021,Thursday,1,60
Qld,Mar,2021,Monday,1,80
Qld,Mar,2021,Wednesday,1,100
NSW,Mar,2021,Monday,1,100
Qld,Mar,2021,Tuesday,1,100
Qld,Mar,2021,Friday,1,100
NSW,Mar,2021,Monday,1,80
NSW,Mar,2021,Wednesday,1,80
Qld,Mar,2021,Monday,1,100
NSW,Mar,2021,Wednesday,1,50
Vic,Mar,2021,Thursday,1,100
Qld,Mar,2021,Monday,1,60
Qld,Mar,2021,Wednesday,2,60
SA,Mar,2021,Friday,1,110
NSW,Mar,2021,Tuesday,1,60
NSW,Mar,2021,Wednesday,1,80
NSW,Mar,2021,Monday,1,100
Qld,Mar,2021,Wednesday,1,70
Qld,Mar,2021,Monday,1,100
Qld,Mar,2021,Friday,1,100
Tas,Mar,2021,Saturday,1,110
Vic,Mar,2021,Friday,1,40
Vic,Mar,2021,Friday,1,60
Vic,Mar,2021,Wednesday,1,50
NSW,Mar,2021,Sunday,1,50
Vic,Mar,2021,Saturday,1,70
Qld,Mar,2021,Saturday,1,100
Vic,Mar,2021,Sunday,1,100
Qld,Mar,2021,Monday,1,70
WA,Mar,2021,Sunday,1,110
ACT,Mar,2021,Monday,1,80
NSW,Mar,2021,Sunday,1,50
NT,Mar,2021,Saturday,1,60
Vic,Mar,2021,Sunday,1,60
SA,Mar,2021,Saturday,2,80
Qld,Mar,2021,Saturday,1,80
Qld,Mar,2021,Sunday,2,100
Qld,Mar,2021,Saturday,1,100
Qld,Mar,2021,Saturday,1,60
WA,Mar,2021,Wednesday,1,110
WA,Mar,2021,Wednesday,1,100
NSW,Mar,2021,Friday,1,50
Qld,Mar,2021,Monday,1,60
Vic,Mar,2021,Saturday,1,100
NSW,Mar,2021,Friday,1,100
Vic,Mar,2021,Wednesday,1,60
Vic,Mar,2021,Wednesday,1,100
SA,Mar,2021,Sunday,1,100
NSW,Mar,2021,Friday,1,110
